,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,"80,000","45,000 kms",Petrol
1,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40 kms,Diesel
2,Hyundai Grand i10,Hyundai,2014,"3,25,000","28,000 kms",Petrol
3,Ford EcoSport Titanium,Ford,2014,"5,75,000","36,000 kms",Diesel
4,Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
5,Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
6,Ford EcoSport Ambiente,Ford,2016,"8,30,000","24,530 kms",Diesel
7,Maruti Suzuki Alto,Maruti,2015,"2,50,000","60,000 kms",Petrol
8,Skoda Fabia Classic,Skoda,2010,"1,82,000","60,000 kms",Petrol
9,Maruti Suzuki Stingray,Maruti,2015,"3,15,000","30,000 kms",Petrol
10,Hyundai Elite i20,Hyundai,2014,"4,15,000","32,000 kms",Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,"3,20,000","48,660 kms",Diesel
12,Hyundai Santro Xing,Hyundai,2007,"80,000","45,000 kms",Petrol
13,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40 kms,Diesel
14,Audi A8,Audi,2017,"10,00,000","4,000 kms",Petrol
15,Audi Q7,Audi,2014,"5,00,000","16,934 kms",Diesel
16,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
17,Maruti Suzuki Alto,Maruti,2014,"1,60,000","35,550 kms",Petrol
18,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
19,Mahindra Scorpio S10,Mahindra,2016,"3,10,000","39,522 kms",Diesel
20,Maruti Suzuki Alto,Maruti,2015,"75,000","39,000 kms",Petrol
21,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
22,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
23,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
24,Maruti Suzuki Alto,Maruti,2017,"1,90,000","72,000 kms",Petrol
25,Maruti Suzuki Vitara,Maruti,2016,"2,90,000","15,975 kms",Diesel
26,Maruti Suzuki Alto,Maruti,2008,"95,000","70,000 kms",Petrol
27,Mahindra Bolero DI,Mahindra,2017,"1,80,000","23,452 kms",Diesel
28,Maruti Suzuki Swift,Maruti,2014,"3,85,000","35,522 kms",Diesel
29,Mahindra Scorpio S10,Mahindra,2015,"2,50,000","48,508 kms",Diesel
30,Maruti Suzuki Swift,Maruti,2017,"1,80,000","15,487 kms",Petrol
31,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
32,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
33,Toyota Innova 2.0,Toyota,2012,"6,50,000","82,000 kms",Diesel
34,Renault Lodgy 85,Renault,2018,"6,89,999","20,000 kms",Diesel
35,Skoda Yeti Ambition,Skoda,2012,"4,48,000","68,000 kms",Diesel
36,Maruti Suzuki Baleno,Maruti,2017,"5,49,000","32,000 kms",Diesel
37,Renault Duster 110,Renault,2012,"5,01,000","38,000 kms",Diesel
38,Renault Duster 85,Renault,2013,"4,89,999","27,000 kms",Diesel
39,Honda City 1.5,Honda,2011,"2,80,000","33,000 kms",Petrol
40,Maruti Suzuki Alto,Maruti,2015,"2,50,000","60,000 kms",Petrol
41,Maruti Suzuki Dzire,Maruti,2013,"3,49,999","46,000 kms",Diesel
42,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
43,Honda Amaze 1.5,Honda,2015,"3,45,000","36,000 kms",Diesel
44,Honda City,Honda,2015,"4,99,999","55,000 kms",Petrol
45,Datsun Redi GO,Datsun,2017,"2,35,000","16,000 kms",Petrol
46,Maruti Suzuki SX4,Maruti,2010,"2,49,999","36,000 kms",Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel
48,Mahindra Bolero DI,Mahindra,2017,"1,80,000","23,452 kms",Diesel
49,Maruti Suzuki Swift,Maruti,2014,"3,85,000","35,522 kms",Diesel
50,Mahindra Scorpio S10,Mahindra,2015,"2,50,000","48,508 kms",Diesel
51,Maruti Suzuki Swift,Maruti,2017,"1,80,000","15,487 kms",Petrol
52,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
53,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
54,Mahindra Scorpio S10,Mahindra,2015,"3,95,000","35,000 kms",Diesel
55,Maruti Suzuki Swift,Maruti,2017,"2,20,000","30,874 kms",Petrol
56,Honda City ZX,Honda,2017,"1,70,000","15,000 kms",Diesel
57,Maruti Suzuki Wagon,Maruti,2013,"85,000","29,685 kms",Petrol
58,Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
59,Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
60,Tata Indigo eCS,Tata,2017,"2,00,000","1,30,000 kms",Diesel
61,Ford EcoSport Ambiente,Ford,2016,"8,30,000","24,530 kms",Diesel
62,Tata Indigo eCS,Tata,2017,"2,00,000","1,30,000 kms",Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,"5,70,000","19,000 kms",Diesel
64,Volkswagen Polo Highline,Volkswagen,2014,"3,15,000","60,000 kms",Petrol
65,Skoda Fabia Classic,Skoda,2010,"1,82,000","60,000 kms",Petrol
66,Maruti Suzuki Stingray,Maruti,2015,"3,15,000","30,000 kms",Petrol
67,Chevrolet Spark LS,Chevrolet,2010,"1,10,000","41,000 kms",Petrol
68,Renault Duster 110PS,Renault,2012,"5,01,000","35,000 kms",Diesel
69,Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
70,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
71,Datsun Redi GO,Datsun,2017,"2,35,000","16,000 kms",Petrol
72,Skoda Fabia 1.2L,Skoda,2011,"1,59,500","38,200 kms",Diesel
73,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
74,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
75,Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
76,Mini Cooper S,Mini,2013,"18,91,111","13,500 kms",Petrol
77,Mahindra Scorpio S4,Mahindra,2015,"8,65,000","30,000 kms",Diesel
78,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000","50,000 kms",Diesel
79,Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
80,Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
81,Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,"12,00,000","3,600 kms",Diesel
83,Hyundai i20 Magna,Hyundai,2009,"1,95,000","32,000 kms",Petrol
84,Toyota Corolla Altis,Toyota,2010,"3,51,000","38,000 kms",Diesel
85,Hyundai Verna Transform,Hyundai,2008,"1,60,000","45,000 kms",Petrol
86,Toyota Corolla Altis,Toyota,2009,"2,40,000","35,000 kms",Petrol
87,Honda City 1.5,Honda,2005,"90,000","50,000 kms",Petrol
88,Hyundai Elite i20,Hyundai,2014,"4,15,000","32,000 kms",Petrol
89,Skoda Fabia 1.2L,Skoda,2011,"1,55,000","45,863 kms",Diesel
90,BMW 3 Series,BMW,2011,"6,00,000","60,500 kms",Petrol
91,Maruti Suzuki A,Maruti,2011,"1,89,500","12,500 kms",Petrol
92,Toyota Etios GD,Toyota,2013,"3,50,000","60,000 kms",Diesel
93,Ford Figo Diesel,Ford,2012,"2,10,000","35,000 kms",Diesel
94,Maruti Suzuki Swift,Maruti,2014,"3,90,000","35,000 kms",Petrol
95,Chevrolet Beat LT,Chevrolet,2012,"1,35,000","45,000 kms",Diesel
96,BMW 7 Series,BMW,2009,"16,00,000","35,000 kms",Petrol
97,Mahindra XUV500 W8,Mahindra,2013,"7,01,000","38,000 kms",Diesel
98,Hyundai i10 Magna,Hyundai,2014,"2,65,000","18,000 kms",Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,"5,25,000","35,000 kms",Diesel
100,Maruti Suzuki Swift,Maruti,2013,"3,72,000","13,349 kms",Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,"6,35,000","29,000 kms",Petrol
102,Ford EcoSport Titanium,Ford,2014,"5,50,000","44,000 kms",Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,"5,75,000","29,000 kms",Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000","42,000 kms",Diesel
105,Maruti Suzuki Alto,Maruti,2012,"1,55,000","14,000 kms",Petrol
106,Hyundai Grand i10,Hyundai,2014,"3,45,000","49,000 kms",Diesel
107,Honda Amaze 1.2,Honda,2014,"3,25,000","42,000 kms",Petrol
108,Hyundai i20 Asta,Hyundai,2012,"3,29,500","36,200 kms",Diesel
109,Ford Figo Diesel,Ford,2014,"1,95,000","50,000 kms",Diesel
110,Maruti Suzuki Eeco,Maruti,2015,"2,51,111","55,000 kms",Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999","45,000 kms",Petrol
112,Maruti Suzuki Esteem,Maruti,2007,"69,999","51,000 kms",Petrol
113,Maruti Suzuki Ritz,Maruti,2014,"2,99,999","19,000 kms",Petrol
114,Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
115,Maruti Suzuki Ritz,Maruti,2013,"3,99,999","33,000 kms",Diesel
116,Maruti Suzuki Swift,Maruti,2013,"3,72,000","13,349 kms",Petrol
117,Maruti Suzuki Dzire,Maruti,2015,"4,50,000","1,04,000 kms",Diesel
118,Toyota Etios Liva,Toyota,2014,"2,70,000","55,000 kms",Petrol
119,Hyundai i20 Sportz,Hyundai,2011,"3,50,000","33,333 kms",Diesel
120,Chevrolet Spark,Chevrolet,2012,"1,58,400","33,600 kms",Petrol
121,Maruti Suzuki Alto,Maruti,2017,"3,50,000","5,600 kms",Petrol
122,Nissan Micra XV,Nissan,2011,"1,79,000","41,000 kms",Petrol
123,Maruti Suzuki Swift,Maruti,2007,"1,25,000","70,000 kms",Petrol
124,Maruti Suzuki Alto,Maruti,2018,"2,00,000","7,500 kms",Petrol
125,Honda Amaze 1.5,Honda,2013,"2,99,000","45,000 kms",Diesel
126,Maruti Suzuki Alto,Maruti,2015,"2,20,000","38,000 kms",Petrol
127,Chevrolet Beat,Chevrolet,2015,"1,50,000","30,000 kms",Petrol
128,Toyota Corolla,Toyota,2009,"2,75,000","26,000 kms",
129,Honda City 1.5,Honda,2010,"2,85,000","35,000 kms",Petrol
130,Ford EcoSport Trend,Ford,2016,"8,30,000","24,330 kms",Diesel
131,Hyundai i20 Asta,Hyundai,2009,"2,10,000","65,480 kms",Petrol
132,Maruti Suzuki Swift,Maruti,2013,"3,40,000","41,000 kms",Petrol
133,Tata Indica V2,Tata,2006,"90,000","20,000 kms",Petrol
134,Hindustan Motors Ambassador,Hindustan,2000,"70,000","2,00,000 kms",Diesel
135,Toyota Corolla Altis,Toyota,2010,"2,89,999","70,000 kms",Petrol
136,Toyota Corolla Altis,Toyota,2012,"3,49,999","59,000 kms",Petrol
137,Toyota Innova 2.5,Toyota,2012,"8,49,999","99,000 kms",Diesel
138,Volkswagen Jetta Highline,Volkswagen,2014,"7,49,999","46,000 kms",Diesel
139,Volkswagen Polo Comfortline,Volkswagen,2015,"3,99,999","2,800 kms",Petrol
140,Volkswagen Polo,Volkswagen,2014,"2,74,999","32,000 kms",Petrol
141,Mahindra Scorpio,Mahindra,2015,"9,84,999","22,000 kms",Diesel
142,Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
143,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
144,Nissan Sunny,Nissan,2012,"2,24,999","45,000 kms",Petrol
145,Hyundai Elite i20,Hyundai,2018,"5,99,999","21,000 kms",Petrol
146,Renault Kwid,Renault,2016,"2,44,999","11,000 kms",Petrol
147,Renault Duster,Renault,2013,"3,99,999","41,000 kms",Diesel
148,Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
149,Renault Duster,Renault,2014,"4,74,999","50,000 kms",Diesel
150,Mahindra Scorpio VLX,Mahindra,2011,"4,99,999","66,000 kms",Diesel
151,Maruti Suzuki Alto,Maruti,2018,"3,10,000","3,000 kms",Petrol
152,Chevrolet Spark LT,Chevrolet,2010,"85,000","45,000 kms",Petrol
153,Datsun Redi GO,Datsun,2016,"2,45,000","7,000 kms",Petrol
154,Maruti Suzuki Swift,Maruti,2010,"1,89,500","38,500 kms",Diesel
155,Fiat Punto Emotion,Fiat,2012,"1,69,500","37,200 kms",Diesel
156,Maruti Suzuki Swift,Maruti,2010,"1,59,500","43,200 kms",Diesel
157,Toyota Etios GD,Toyota,2013,"2,75,000","24,800 kms",Petrol
158,Hyundai i20 Sportz,Hyundai,2014,"3,70,000","60,000 kms",Diesel
159,Hyundai i10 Sportz,Hyundai,2010,"1,68,000","45,872 kms",Petrol
160,Chevrolet Beat LT,Chevrolet,2011,"1,50,000","40,000 kms",Diesel
161,Chevrolet Beat LS,Chevrolet,2011,"1,45,000","45,000 kms",Diesel
162,Chevrolet Beat LT,Chevrolet,2012,"98,500","38,000 kms",Diesel
163,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000","50,000 kms",Diesel
164,Tata Indigo CS,Tata,2011,"85,000","11,400 kms",Diesel
165,Toyota Corolla Altis,Toyota,2015,"5,75,000","42,000 kms",Petrol
166,Honda City 1.5,Honda,2014,"5,49,000","39,000 kms",Petrol
167,Maruti Suzuki Swift,Maruti,2011,"2,09,000","47,000 kms",Diesel
168,Hyundai Eon Era,Hyundai,2013,"1,85,000","27,000 kms",Petrol
169,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
170,Mahindra XUV500,Mahindra,2014,"6,99,999","52,000 kms",Diesel
171,Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
172,Ford Fiesta,Ford,2011,"2,74,999","55,000 kms",Diesel
173,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
174,Honda City,Honda,2015,"5,99,999","30,000 kms",Diesel
175,Maruti Suzuki Wagon,Maruti,2012,"1,99,999","44,000 kms",Petrol
176,Honda City,Honda,2014,"5,44,999","45,000 kms",Diesel
177,Hyundai i20,Hyundai,2009,"1,99,000","31,000 kms",Petrol
178,Tata Indigo eCS,Tata,2016,"3,20,000","1,75,430 kms",Diesel
179,Hyundai Fluidic Verna,Hyundai,2015,"5,40,000","38,000 kms",Diesel
180,Mahindra Quanto C8,Mahindra,2013,"3,40,000","37,000 kms",Diesel
181,Fiat Petra ELX,Fiat,2008,"75,000","65,000 kms",Petrol
182,Skoda Fabia 1.2L,Skoda,2011,"1,59,500","38,200 kms",Diesel
183,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
184,Hyundai Santro Xing,Hyundai,2005,"49,000","7,500 kms",Petrol
185,Maruti Suzuki Ciaz,Maruti,2016,"7,00,000","3,350 kms",Petrol
186,Maruti Suzuki Zen,Maruti,2000,"55,000","60,000 kms",Petrol
187,Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
188,Hyundai Creta 1.6,Hyundai,2017,"8,95,000","32,000 kms",Petrol
189,Mahindra Scorpio SLX,Mahindra,2007,"3,55,000","75,000 kms",Diesel
190,Mahindra Scorpio SLE,Mahindra,2012,"5,65,000","62,000 kms",Diesel
191,Toyota Innova 2.5,Toyota,2006,"3,65,000","73,000 kms",Diesel
192,Maruti Suzuki Alto,Maruti,2011,"1,45,000","41,000 kms",Petrol
193,Maruti Suzuki Wagon,Maruti,2011,"2,10,000","35,000 kms",Petrol
194,Tata Nano Cx,Tata,2013,"40,000","2,200 kms",Petrol
195,Maruti Suzuki Alto,Maruti,2013,"1,25,000","39,000 kms",Petrol
196,Maruti Suzuki Wagon,Maruti,2009,"1,35,000","45,000 kms",Petrol
197,Maruti Suzuki Swift,Maruti,2006,"1,35,000","45,000 kms",Petrol
198,Tata Sumo Victa,Tata,2012,"2,85,000","65,000 kms",Diesel
199,Maruti Suzuki Wagon,Maruti,2010,"1,45,000","54,870 kms",Petrol
200,Maruti Suzuki Alto,Maruti,2010,"1,35,000","34,580 kms",Petrol
201,Volkswagen Passat Diesel,Volkswagen,2009,"4,50,000","97,000 kms",Diesel
202,Renault Scala RxL,Renault,2015,"3,75,000","25,000 kms",Diesel
203,Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
204,Hyundai Grand i10,Hyundai,2014,"3,65,000","20,000 kms",Petrol
205,Hyundai i20 Active,Hyundai,2015,"5,00,000","18,000 kms",Petrol
206,Mahindra Xylo E4,Mahindra,2012,"4,00,000","35,000 kms",Diesel
207,Mahindra Jeep MM,Mahindra,2019,"3,90,000",60 kms,Diesel
208,Renault Duster 110PS,Renault,2012,"5,01,000","35,000 kms",Diesel
209,Mahindra Bolero SLE,Mahindra,2013,"3,30,000","80,200 kms",Diesel
210,Force Motors Force,Force,2015,"5,80,000","3,200 kms",Diesel
211,Maruti Suzuki SX4,Maruti,2012,"2,65,000","46,000 kms",Diesel
212,Mahindra Jeep CL550,Mahindra,2019,"3,79,000","0,000 kms",Diesel
213,Maruti Suzuki Alto,Maruti,2015,"2,19,000","5,000 kms",Petrol
214,Mahindra Jeep CL550,Mahindra,2018,"3,85,000",588 kms,Diesel
215,Toyota Etios,Toyota,2011,"2,75,000","36,000 kms",Diesel
216,Volkswagen Polo,Volkswagen,2015,"3,30,000","38,000 kms",Diesel
217,Honda City ZX,Honda,2008,"1,10,000","45,000 kms",Petrol
218,Maruti Suzuki Wagon,Maruti,2006,"80,000","71,200 kms",Petrol
219,Honda City VX,Honda,2016,"5,19,000","52,000 kms",Diesel
220,Mahindra Thar CRDe,Mahindra,2016,"7,30,000","29,000 kms",Diesel
221,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel
222,Audi A4 1.8,Audi,2009,"6,99,000","47,000 kms",Petrol
223,Mercedes Benz GLA,Mercedes,2015,"20,00,000","20,000 kms",Diesel
224,Land Rover Freelander,Land,2015,"21,00,000","30,000 kms",Diesel
225,Renault Kwid RXT,Renault,2017,"3,40,000","5,000 kms",Petrol
226,Tata Aria Pleasure,Tata,2014,"3,90,000","35,000 kms",Diesel
227,Mercedes Benz B,Mercedes,2014,"14,00,000","31,000 kms",Petrol
228,Datsun GO T,Datsun,2016,"2,45,000","7,000 kms",Petrol
229,Tata Indigo eCS,Tata,2016,"3,20,000","1,75,430 kms",Diesel
230,Tata Indigo eCS,Tata,2016,"3,20,000","1,75,400 kms",Diesel
231,Honda Jazz VX,Honda,2016,"4,50,000","41,000 kms",Petrol
232,Honda Amaze 1.2,Honda,2014,"3,11,000","33,000 kms",Petrol
233,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
234,Honda City,Honda,2012,"3,99,999","45,000 kms",Petrol
235,Honda City,Honda,2015,"5,99,999","39,000 kms",Diesel
236,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
237,Audi A4 1.8,Audi,2009,"6,99,000","47,000 kms",Petrol
238,Force Motors Force,Force,2015,"5,80,000","3,200 kms",Diesel
239,Mahindra Scorpio S4,Mahindra,2015,"8,55,000","30,000 kms",Diesel
240,Hyundai i20 Active,Hyundai,2015,"5,35,000","37,000 kms",Diesel
241,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
242,Maruti Suzuki Ciaz,Maruti,2017,"6,99,000","14,000 kms",Petrol
243,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000","55,000 kms",Diesel
244,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
245,Hyundai Eon Sportz,Hyundai,2012,"1,78,000","30,000 kms",Petrol
246,Tata Sumo Gold,Tata,2013,"3,00,000","50,000 kms",Diesel
247,Maruti Suzuki Wagon,Maruti,2003,"90,000","45,000 kms",Petrol
248,Maruti Suzuki Esteem,Maruti,2006,"95,000","45,000 kms",Petrol
249,Maruti Suzuki Eeco,Maruti,2015,"2,55,000","9,300 kms",Petrol
250,Chevrolet Enjoy 1.4,Chevrolet,2013,"2,45,000","55,000 kms",Diesel
251,Hyundai i20 Asta,Hyundai,2012,"3,29,500","36,200 kms",Diesel
252,Ford Figo Diesel,Ford,2014,"1,95,000","50,000 kms",Diesel
253,Maruti Suzuki Eeco,Maruti,2015,"2,51,111","55,000 kms",Petrol
254,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999","45,000 kms",Petrol
255,Maruti Suzuki Esteem,Maruti,2007,"69,999","51,000 kms",Petrol
256,Maruti Suzuki Ritz,Maruti,2014,"2,99,999","19,000 kms",Petrol
257,Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
258,Maruti Suzuki Ritz,Maruti,2013,"3,99,999","33,000 kms",Diesel
259,Maruti Suzuki SX4,Maruti,2010,"2,49,999","36,000 kms",Petrol
260,Maruti Suzuki Wagon,Maruti,2015,"2,89,999","22,000 kms",Petrol
261,Mini Cooper S,Mini,2013,"18,91,111","13,500 kms",Petrol
262,Nissan Terrano XL,Nissan,2015,"4,99,999","60,000 kms",Diesel
263,Renault Duster 85,Renault,2013,"4,89,999","27,000 kms",Diesel
264,Renault Duster 85,Renault,2014,"4,89,999","59,000 kms",Diesel
265,Renault Duster 85,Renault,2015,"5,49,999","19,000 kms",Diesel
266,Maruti Suzuki Dzire,Maruti,2013,"3,80,000","30,000 kms",Petrol
267,Renault Kwid RXT,Renault,2018,"3,25,000","15,000 kms",Petrol
268,Maruti Suzuki Maruti,Maruti,2003,"57,000","56,758 kms",Petrol
269,Renault Kwid 1.0,Renault,2018,"3,49,999","10,000 kms",Petrol
270,Renault Lodgy 85,Renault,2018,"6,89,999","20,000 kms",Diesel
271,Renault Scala RxL,Renault,2014,"3,49,999","49,000 kms",Diesel
272,Hyundai Grand i10,Hyundai,2014,"4,10,000","41,000 kms",Petrol
273,Maruti Suzuki Swift,Maruti,2011,"2,25,000","45,000 kms",Petrol
